Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
0,312.4,318.6,1488,45.5,76,0
1,314.7,320.9,1620,46.5,208,0
2,312.3,318.6,1376,66.875,117,0
1,315.2,320.3,1448,50.125,214,0
0,314.2,320.3,1429,50.125,28,0
0,315.3,321.7,1406,59.375,19,0
0,313.6,319.8,1496,47.125,139,0
0,312.6,318.6,1744,35.625,47,0
0,314.9,320.9,1292,63.875,178,0
0,314.5,320.7,1589,41.875,10,0
0,313.3,319.1,1616,38.875,200,0
2,315.6,320.4,1510,53.5,129,0
0,315.4,321.4,1424,55.75,132,0
0,312.5,318.8,1603,45.875,189,0
1,313.6,319.6,1397,67.625,52,0
0,315.8,322.4,1825,29.75,132,0
0,315.5,322.0,1558,45.875,118,0
1,315.3,321.6,1617,40.625,120,0
0,314.0,320.0,1509,47.5,173,0
1,314.7,321.2,1560,54.875,131,0
1,315.7,320.6,1505,44.5,110,0
0,315.3,320.6,1433,67.25,91,0
0,315.7,322.1,1498,55.0,160,0
1,312.2,317.9,1541,44.625,174,0
0,313.6,319.6,1540,44.75,10,0
0,313.8,319.4,1387,67.625,176,0
1,313.9,320.1,1549,50.25,70,0
0,314.1,320.5,1389,76.75,69,0
2,315.0,320.4,1881,27.375,107,0
1,313.9,320.2,2099,25.0,103,0
0,315.8,322.0,1477,46.625,169,0
0,312.6,318.7,1365,63.25,148,0
1,315.4,321.7,1508,56.75,169,0
1,313.5,319.3,1761,34.0,54,0
0,315.2,320.5,1416,58.375,95,0
0,315.4,321.7,1513,50.0,56,0
1,312.5,318.5,1447,52.0,123,0
2,314.8,320.2,1573,41.625,173,0
0,315.1,320.5,1532,45.0,114,0
2,313.7,320.1,1435,57.0,42,0
0,315.1,320.1,1380,65.75,64,0
0,315.7,320.4,1234,64.625,165,0
1,314.7,320.5,1594,44.25,139,0
1,315.7,321.9,1657,38.625,121,0
0,312.4,318.0,1423,47.5,159,0
1,313.4,319.4,1666,30.375,73,0
1,313.1,318.6,1415,57.875,32,0
2,315.5,320.5,1403,59.625,29,0
0,314.8,321.1,1412,53.125,186,0
0,312.5,318.3,1435,50.375,202,0
0,315.1,321.4,1910,28.75,158,0
0,312.6,318.6,1351,63.75,42,0
1,314.8,319.6,1434,60.0,87,0
0,313.0,318.4,1432,57.75,16,0
0,315.2,319.9,1566,45.5,175,0
1,313.7,319.2,1423,61.125,192,0
1,313.6,319.6,1525,53.0,7,0
2,315.3,321.5,1464,51.25,34,0
1,314.1,320.2,1711,35.125,22,0
0,315.8,322.0,1374,62.75,159,0
2,315.6,321.7,1427,55.75,92,0
1,315.5,321.4,1743,34.5,51,0
0,315.1,321.5,1659,38.875,208,0
